Date,Open,High,Low,Close,Adj Close,Volume
2021-02-01,235.059998,242.500000,232.429993,239.649994,233.855972,33314200
2021-02-02,241.300003,242.309998,238.690002,239.509995,233.719330,25916300
2021-02-03,239.570007,245.089996,239.259995,243.000000,237.125000,27158100
2021-02-04,242.660004,243.240005,240.369995,242.009995,236.158905,25296100
2021-02-05,242.229996,243.279999,240.419998,242.199997,236.344315,18054800
2021-02-08,243.149994,243.679993,240.809998,242.470001,236.607758,22211900
2021-02-09,241.869995,244.759995,241.380005,243.770004,237.876343,23565000
2021-02-10,245.000000,245.919998,240.889999,242.820007,236.949326,22186700
2021-02-11,244.779999,245.149994,242.149994,244.490005,238.578949,15751100
2021-02-12,243.929993,245.300003,242.729996,244.990005,239.066864,16561100
2021-02-16,245.029999,246.130005,242.919998,243.699997,237.808044,26728500
2021-02-17,241.320007,244.309998,240.940002,244.199997,238.844772,21653500
2021-02-18,241.800003,243.929993,240.860001,243.789993,238.443787,16925600
2021-02-19,243.750000,243.860001,240.179993,240.970001,235.685638,25262600
2021-02-22,237.419998,237.929993,232.399994,234.509995,229.367310,36446900
2021-02-23,230.330002,234.830002,228.729996,233.270004,228.154480,30228700
2021-02-24,230.009995,235.199997,229.000000,234.550003,229.406418,26339700
